ts,value,namespace
1666196409,206,project-kf54g
1666196424,220,project-kf54g
1666196439,232,project-kf54g
1666196454,233,project-kf54g
1666196469,244,project-kf54g
1666196484,250,project-kf54g
1666196499,263,project-kf54g
1666196514,266,project-kf54g
1666196529,282,project-kf54g
1666196544,287,project-kf54g
1666196559,301,project-kf54g
1666196574,302,project-kf54g
1666196589,316,project-kf54g
1666196604,325,project-kf54g
1666196619,335,project-kf54g
1666196634,340,project-kf54g
1666196649,346,project-kf54g
1666196664,350,project-kf54g
1666196679,360,project-kf54g
1666196694,362,project-kf54g
1666196709,362,project-kf54g
1666196724,362,project-kf54g
1666196739,362,project-kf54g
1666196754,362,project-kf54g
1666196769,362,project-kf54g
1666196784,362,project-kf54g
1666196799,362,project-kf54g
1666196814,362,project-kf54g
1666196829,362,project-kf54g
1666196844,362,project-kf54g
1666196859,362,project-kf54g
1666196874,362,project-kf54g
1666196889,362,project-kf54g
1666196904,362,project-kf54g
1666196919,362,project-kf54g
1666196934,362,project-kf54g
1666196949,362,project-kf54g
1666196964,362,project-kf54g
1666196979,362,project-kf54g
1666196064,0,project-kpk2z
1666196079,0,project-kpk2z
1666196094,2,project-kpk2z
1666196109,10,project-kpk2z
1666196124,15,project-kpk2z
1666196139,24,project-kpk2z
1666196154,27,project-kpk2z
1666196169,43,project-kpk2z
1666196184,51,project-kpk2z
1666196199,65,project-kpk2z
1666196214,72,project-kpk2z
1666196229,77,project-kpk2z
1666196244,83,project-kpk2z
1666196259,93,project-kpk2z
1666196274,101,project-kpk2z
1666196289,114,project-kpk2z
1666196304,121,project-kpk2z
1666196319,134,project-kpk2z
1666196334,138,project-kpk2z
1666196349,149,project-kpk2z
1666196364,154,project-kpk2z
1666196379,166,project-kpk2z
1666196394,172,project-kpk2z
1666196409,182,project-kpk2z
1666196424,188,project-kpk2z
1666196439,204,project-kpk2z
1666196454,209,project-kpk2z
1666196469,217,project-kpk2z
1666196484,231,project-kpk2z
1666196499,250,project-kpk2z
1666196514,253,project-kpk2z
1666196529,271,project-kpk2z
1666196544,280,project-kpk2z
1666196559,292,project-kpk2z
1666196574,300,project-kpk2z
1666196589,318,project-kpk2z
1666196604,326,project-kpk2z
1666196619,339,project-kpk2z
1666196634,350,project-kpk2z
1666196649,365,project-kpk2z
1666196664,373,project-kpk2z
1666196679,383,project-kpk2z
1666196694,387,project-kpk2z
1666196709,387,project-kpk2z
1666196724,387,project-kpk2z
1666196739,387,project-kpk2z
1666196754,387,project-kpk2z
1666196769,387,project-kpk2z
1666196784,387,project-kpk2z
1666196799,387,project-kpk2z
1666196814,387,project-kpk2z
1666196829,387,project-kpk2z
1666196844,387,project-kpk2z
1666196859,387,project-kpk2z
1666196874,387,project-kpk2z
1666196889,387,project-kpk2z
1666196904,387,project-kpk2z
1666196919,387,project-kpk2z
1666196934,387,project-kpk2z
1666196949,387,project-kpk2z
1666196964,387,project-kpk2z
1666196979,387,project-kpk2z
1666196064,0,project-p5fvf
1666196079,0,project-p5fvf
1666196094,5,project-p5fvf
1666196109,20,project-p5fvf
1666196124,28,project-p5fvf
