ts,value,theme
1666592862,51,theme-5h9hz
1666592877,53,theme-5h9hz
1666592892,56,theme-5h9hz
1666592907,60,theme-5h9hz
1666592922,62,theme-5h9hz
1666592937,63,theme-5h9hz
1666592952,71,theme-5h9hz
1666592967,74,theme-5h9hz
1666592982,79,theme-5h9hz
1666592997,81,theme-5h9hz
1666593012,86,theme-5h9hz
1666593027,88,theme-5h9hz
1666593042,95,theme-5h9hz
1666593057,96,theme-5h9hz
1666593072,101,theme-5h9hz
1666593087,105,theme-5h9hz
1666593102,110,theme-5h9hz
1666593117,109,theme-5h9hz
1666593132,121,theme-5h9hz
1666593147,124,theme-5h9hz
1666593162,130,theme-5h9hz
1666593177,134,theme-5h9hz
1666593192,139,theme-5h9hz
1666593207,141,theme-5h9hz
1666593222,145,theme-5h9hz
1666593237,146,theme-5h9hz
1666593252,150,theme-5h9hz
1666593267,153,theme-5h9hz
1666593282,156,theme-5h9hz
1666593297,160,theme-5h9hz
1666593312,163,theme-5h9hz
1666593327,163,theme-5h9hz
1666593342,163,theme-5h9hz
1666593357,163,theme-5h9hz
1666593372,163,theme-5h9hz
1666593387,163,theme-5h9hz
1666593402,163,theme-5h9hz
1666593417,163,theme-5h9hz
1666593432,163,theme-5h9hz
1666593447,163,theme-5h9hz
1666592682,0,theme-5m9wt
1666592697,0,theme-5m9wt
1666592712,7,theme-5m9wt
1666592727,13,theme-5m9wt
1666592742,16,theme-5m9wt
1666592757,16,theme-5m9wt
1666592772,20,theme-5m9wt
1666592787,25,theme-5m9wt
1666592802,30,theme-5m9wt
1666592817,32,theme-5m9wt
1666592832,37,theme-5m9wt
1666592847,38,theme-5m9wt
1666592862,41,theme-5m9wt
1666592877,41,theme-5m9wt
1666592892,47,theme-5m9wt
1666592907,50,theme-5m9wt
1666592922,54,theme-5m9wt
1666592937,55,theme-5m9wt
1666592952,62,theme-5m9wt
1666592967,64,theme-5m9wt
1666592982,68,theme-5m9wt
1666592997,70,theme-5m9wt
1666593012,75,theme-5m9wt
1666593027,79,theme-5m9wt
