ts,value,namespace
1666194210,32,project-m7t4x
1666194225,47,project-m7t4x
1666194240,59,project-m7t4x
1666194255,74,project-m7t4x
1666194270,84,project-m7t4x
1666194285,99,project-m7t4x
1666194300,108,project-m7t4x
1666194315,120,project-m7t4x
1666194330,124,project-m7t4x
1666194345,146,project-m7t4x
1666194360,157,project-m7t4x
1666194375,166,project-m7t4x
1666194390,174,project-m7t4x
1666194405,183,project-m7t4x
1666194420,186,project-m7t4x
1666194435,200,project-m7t4x
1666194450,209,project-m7t4x
1666194465,228,project-m7t4x
1666194480,232,project-m7t4x
1666194495,248,project-m7t4x
1666194510,256,project-m7t4x
1666194525,268,project-m7t4x
1666194540,274,project-m7t4x
1666194555,286,project-m7t4x
1666194570,293,project-m7t4x
1666194585,308,project-m7t4x
1666194600,313,project-m7t4x
1666194615,322,project-m7t4x
1666194630,333,project-m7t4x
1666194645,343,project-m7t4x
1666194660,348,project-m7t4x
1666194675,368,project-m7t4x
1666194690,373,project-m7t4x
1666194705,385,project-m7t4x
1666194720,389,project-m7t4x
1666194735,407,project-m7t4x
1666194750,413,project-m7t4x
1666194765,424,project-m7t4x
1666194780,426,project-m7t4x
1666194795,426,project-m7t4x
1666194810,426,project-m7t4x
1666194825,426,project-m7t4x
1666194840,426,project-m7t4x
1666194855,426,project-m7t4x
1666194870,426,project-m7t4x
1666194885,426,project-m7t4x
1666194900,426,project-m7t4x
1666194915,426,project-m7t4x
1666194930,426,project-m7t4x
1666194945,426,project-m7t4x
1666194960,426,project-m7t4x
1666194975,426,project-m7t4x
1666194990,426,project-m7t4x
1666195005,426,project-m7t4x
1666195020,426,project-m7t4x
1666195035,426,project-m7t4x
1666195050,426,project-m7t4x
1666195065,426,project-m7t4x
1666194150,0,project-rg5fc
1666194165,0,project-rg5fc
1666194180,7,project-rg5fc
1666194195,20,project-rg5fc
1666194210,23,project-rg5fc
1666194225,34,project-rg5fc
1666194240,42,project-rg5fc
1666194255,50,project-rg5fc
1666194270,53,project-rg5fc
1666194285,63,project-rg5fc
1666194300,66,project-rg5fc
1666194315,75,project-rg5fc
1666194330,83,project-rg5fc
